M,N,K,Time (msec),TERAFLOPS
1760,16,1760,0.04,2.61
1760,32,1760,0.04,4.96
1760,64,1760,0.05,7.62
1760,128,1760,0.09,9.01
1760,7000,1760,3.08,14.07
2048,16,2048,0.04,3.27
2048,32,2048,0.04,6.39
2048,64,2048,0.06,9.26
2048,128,2048,0.1,11.07
2048,7000,2048,4,14.67
2560,16,2560,0.05,4.19
2560,32,2560,0.05,8.07
2560,64,2560,0.07,11.98
2560,128,2560,0.12,13.87
2560,7000,2560,6.36,14.42
4096,16,4096,0.1,5.16
4096,32,4096,0.11,10.23
4096,64,4096,0.17,12.63
4096,128,4096,0.36,12.03
4096,7000,4096,16.25,14.45
1760,16,1760,0.04,2.36
1760,32,1760,0.05,4.41
1760,64,1760,0.06,7.08
1760,128,1760,0.09,8.62
1760,7000,1760,3.22,13.46
2048,16,2048,0.05,2.92
2048,32,2048,0.05,5.59
2048,64,2048,0.07,7.9
2048,128,2048,0.1,10.85
2048,7000,2048,4.12,14.25
2560,16,2560,0.06,3.55
2560,32,2560,0.06,7.11
2560,64,2560,0.08,10.23
2560,128,2560,0.14,11.73
2560,7000,2560,6.58,13.95
4096,16,4096,0.11,4.71
4096,32,4096,0.12,9.34
4096,64,4096,0.18,12.13
4096,128,4096,0.33,12.86
4096,7000,4096,16.55,14.19
1760,7133,1760,3.14,14.09
2048,7133,2048,4.11,14.58
2560,7133,2560,6.22,15.04
4096,7133,4096,18.52,12.93
5124,9124,1760,12.274,13.41
35,8457,1760,0.192,5.43
5124,9124,2048,15.26,12.55
35,8457,2048,0.22,5.59
5124,9124,2560,17.84,13.42
35,8457,2560,0.25,5.97
5124,9124,4096,28.4,13.48
35,8457,4096,0.38,6.41
5124,9124,1760,12.38,13.29
35,8457,1760,0.21,5.03
5124,9124,2048,14.62,13.09
35,8457,2048,0.22,5.54
5124,9124,2560,17.94,13.34
35,8457,2560,0.29,5.3
5124,9124,4096,28.46,13.46
35,8457,4096,0.4,6.06
7680,16,2560,0.12,0
7680,32,2560,0.13,0
7680,64,2560,0.198,0
7680,128,2560,0.37,0
7680,16,2560,0.14,0
7680,32,2560,0.14,0
7680,64,2560,0.27,0
7680,128,2560,0.39,0
3072,16,1024,0.03,0
3072,32,1024,0.04,0
3072,64,1024,0.05,0
3072,128,1024,0.08,0
3072,16,1024,0.04,0
3072,32,1024,0.04,0
3072,64,1024,0.06,0
3072,128,1024,0.08,0
