M,K,N,m,k,n,in0_channel,in1_channel,out_channel,method,pipeline_rate,NV,LEO
1760,1760,16,128,1760,16,1,0,0,F1,1.6988556321,2.61,2.1946062139
1760,1760,32,128,1760,32,1,0,0,F1,1.8080880479,4.96,4.362919993
1760,1760,64,128,1760,64,1,0,0,F1,1.9999062794,7.62,8.525483003
1760,1760,128,128,1760,128,1,0,0,F1,1.9999587176,9.01,13.8253360246
1760,1760,7000,128,1760,288,0,0,0,F1,1.9724209965,14.07,20.8274560509
2048,2048,16,128,2048,16,1,0,0,F1,1.614674722,3.27,2.1738875955
2048,2048,32,128,2048,32,1,0,0,F1,1.7226307537,6.39,4.3235649345
2048,2048,64,128,2048,64,1,0,0,F1,1.9385358233,9.26,8.567623346
2048,2048,128,128,2048,128,1,0,0,F1,1.9999631288,11.07,14.2670793882
2048,2048,7000,128,2048,224,0,0,0,F1,1.9999679367,14.67,19.3630799401
2560,2560,16,256,1912,16,1,0,0,F2,1.4778115024,4.19,2.1504746559
2560,2560,32,256,1792,32,1,0,0,F2,1.6704751631,8.07,4.2822639296
2560,2560,64,384,1115,64,1,0,0,F2,1.9753320269,11.98,8.5061297785
2560,2560,128,128,2560,128,1,0,0,F1,1.9999690149,13.87,14.8468821628
2560,2560,7000,384,509,368,0,0,0,F2,1.9999574064,14.42,16.7313438076
4096,4096,16,128,3626,16,1,0,0,F2,1.5530962414,5.16,2.1510377532
4096,4096,32,128,3251,32,1,0,0,F2,1.8209589285,10.23,4.285727219
4096,4096,64,384,1115,64,1,0,0,F2,1.9753320269,12.63,8.5061297785
4096,4096,128,512,716,128,1,0,0,F2,1.999966164,12.03,12.7845710776
4096,4096,7000,384,509,368,0,0,0,F2,1.9999574064,14.45,16.7313438076
1760,1760,16,128,1760,16,1,0,0,F1,1.6988556321,2.36,2.1946062139
1760,1760,32,128,1760,32,1,0,0,F1,1.8080880479,4.41,4.362919993
1760,1760,64,128,1760,64,1,0,0,F1,1.9999062794,7.08,8.525483003
1760,1760,128,128,1760,128,1,0,0,F1,1.9999587176,8.62,13.8253360246
1760,1760,7000,128,1760,288,0,0,0,F1,1.9724209965,13.46,20.8274560509
2048,2048,16,128,2048,16,1,0,0,F1,1.614674722,2.92,2.1738875955
2048,2048,32,128,2048,32,1,0,0,F1,1.7226307537,5.59,4.3235649345
2048,2048,64,128,2048,64,1,0,0,F1,1.9385358233,7.9,8.567623346
2048,2048,128,128,2048,128,1,0,0,F1,1.9999631288,10.85,14.2670793882
2048,2048,7000,128,2048,224,0,0,0,F1,1.9999679367,14.25,19.3630799401
2560,2560,16,256,1912,16,1,0,0,F2,1.4778115024,3.55,2.1504746559
2560,2560,32,256,1792,32,1,0,0,F2,1.6704751631,7.11,4.2822639296
2560,2560,64,384,1115,64,1,0,0,F2,1.9753320269,10.23,8.5061297785
2560,2560,128,128,2560,128,1,0,0,F1,1.9999690149,11.73,14.8468821628
2560,2560,7000,384,509,368,0,0,0,F2,1.9999574064,13.95,16.7313438076
4096,4096,16,128,3626,16,1,0,0,F2,1.5530962414,4.71,2.1510377532
4096,4096,32,128,3251,32,1,0,0,F2,1.8209589285,9.34,4.285727219
4096,4096,64,384,1115,64,1,0,0,F2,1.9753320269,12.13,8.5061297785
4096,4096,128,512,716,128,1,0,0,F2,1.999966164,12.86,12.7845710776
4096,4096,7000,384,509,368,0,0,0,F2,1.9999574064,14.19,16.7313438076
1760,1760,7133,128,1760,288,0,0,0,F1,1.9724209965,14.09,20.8274560509
2048,2048,7133,128,2048,224,0,0,0,F1,1.9999679367,14.58,19.3630799401
2560,2560,7133,384,509,368,0,0,0,F2,1.9999574064,15.04,16.7313438076
4096,4096,7133,384,509,368,0,0,0,F2,1.9999574064,12.93,16.7313438076
5124,1760,9124,128,1760,288,0,0,0,F1,1.9724209965,13.41,20.8274560509
35,1760,8457,0,0,0,-1,-1,-1,fail,0,5.43,0
5124,2048,9124,128,2048,224,0,0,0,F1,1.9999679367,12.55,19.3630799401
35,2048,8457,0,0,0,-1,-1,-1,fail,0,5.59,0
5124,2560,9124,384,509,368,0,0,0,F2,1.9999574064,13.42,16.7313438076
35,2560,8457,0,0,0,-1,-1,-1,fail,0,5.97,0
5124,4096,9124,384,509,368,0,0,0,F2,1.9999574064,13.48,16.7313438076
35,4096,8457,0,0,0,-1,-1,-1,fail,0,6.41,0
5124,1760,9124,128,1760,288,0,0,0,F1,1.9724209965,13.29,20.8274560509
35,1760,8457,0,0,0,-1,-1,-1,fail,0,5.03,0
5124,2048,9124,128,2048,224,0,0,0,F1,1.9999679367,13.09,19.3630799401
35,2048,8457,0,0,0,-1,-1,-1,fail,0,5.54,0
5124,2560,9124,384,509,368,0,0,0,F2,1.9999574064,13.34,16.7313438076
35,2560,8457,0,0,0,-1,-1,-1,fail,0,5.3,0
5124,4096,9124,384,509,368,0,0,0,F2,1.9999574064,13.46,16.7313438076
35,4096,8457,0,0,0,-1,-1,-1,fail,0,6.06,0
7680,2560,16,256,1912,16,1,0,0,F2,1.4778115024,0,2.1504746559
7680,2560,32,256,1792,32,1,0,0,F2,1.6704751631,0,4.2822639296
7680,2560,64,384,1115,64,1,0,0,F2,1.9753320269,0,8.5061297785
7680,2560,128,128,2560,128,1,0,0,F1,1.9999690149,0,14.8468821628
7680,2560,16,256,1912,16,1,0,0,F2,1.4778115024,0,2.1504746559
7680,2560,32,256,1792,32,1,0,0,F2,1.6704751631,0,4.2822639296
7680,2560,64,384,1115,64,1,0,0,F2,1.9753320269,0,8.5061297785
7680,2560,128,128,2560,128,1,0,0,F1,1.9999690149,0,14.8468821628
3072,1024,16,256,1024,16,1,0,0,F1,1.6224858907,0,2.1729529755
3072,1024,32,256,1024,32,1,0,0,F1,1.7382527414,0,4.3203306321
3072,1024,64,256,1024,64,1,0,0,F1,1.9697784006,0,8.5576623718
3072,1024,128,384,1024,128,1,0,0,F1,1.9999669029,0,14.6758596516
3072,1024,16,256,1024,16,1,0,0,F1,1.6224858907,0,2.1729529755
3072,1024,32,256,1024,32,1,0,0,F1,1.7382527414,0,4.3203306321
3072,1024,64,256,1024,64,1,0,0,F1,1.9697784006,0,8.5576623718
3072,1024,128,384,1024,128,1,0,0,F1,1.9999669029,0,14.6758596516
