0,1,2,3,4,5,6,7,8,9,10,11,12,13
Language Modelling,512,500000,8,512,975.0,16,1,0,0,F2,1.2298785637620666,2.82,0.9053977008428117
Language Modelling,1024,500000,8,512,975.0,16,1,0,0,F2,1.2298785637620666,3.32,0.9053977008428117
Language Modelling,512,500000,16,512,975.0,16,1,0,0,F2,1.2298785637620666,5.6,1.8107954016856234
Language Modelling,1024,500000,16,512,975.0,16,1,0,0,F2,1.2298785637620666,6.58,1.8107954016856234
DeepSpeech,1760,1760,7000,128,1760.0,288,0,0,1,F1,1.4375948035282375,14.07,14.33597115021364
DeepSpeech,2048,2048,16,384,1024.0,16,1,0,0,F2,1.2752248522999368,3.27,1.794633314646892
DeepSpeech,2048,2048,32,384,1024.0,32,1,0,0,F2,1.3595020747162678,6.39,3.4199577727593753
DeepSpeech,2048,2048,64,128,2048.0,64,0,0,1,F1,1.4915210425545014,9.26,6.433437553305542
DeepSpeech,2048,2048,128,128,2048.0,128,0,0,1,F1,1.4999822317610867,11.07,10.291034892128621
DeepSpeech,2048,2048,7000,128,2048.0,224,0,0,1,F1,1.4999847552953138,14.67,13.778566420280491
DeepSpeech,2560,2560,16,384,1280.0,16,1,0,0,F2,1.2354809674099123,4.19,1.8062800672154098
DeepSpeech,2560,2560,32,512,854.0,32,1,0,0,F2,1.3329728724663465,8.07,3.4393903633437266
DeepSpeech,2560,2560,64,128,2560.0,64,0,0,1,F1,1.437736693744792,11.98,6.485820272367211
DeepSpeech,2560,2560,128,128,2560.0,128,0,0,1,F1,1.4999850955001475,13.87,10.692621156694097
DeepSpeech,2560,2560,7000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.42,11.989333102515188
DeepSpeech,4096,4096,16,512,820.0,16,1,0,0,F2,1.2598543105142423,5.16,1.8014066405068614
DeepSpeech,4096,4096,32,512,820.0,32,1,0,0,F2,1.3408679073833296,10.23,3.43563602743865
DeepSpeech,4096,4096,64,512,820.0,64,1,0,0,F2,1.4999519132969183,12.63,6.362814428018177
DeepSpeech,4096,4096,128,512,683.0,128,1,0,0,F2,1.4999830201495068,12.03,9.18189098611963
DeepSpeech,4096,4096,7000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.45,11.989333102515188
DeepSpeech,1760,1760,7133,128,1760.0,288,0,0,1,F1,1.4375948035282375,14.09,14.33597115021364
DeepSpeech,2048,2048,7133,128,2048.0,224,0,0,1,F1,1.4999847552953138,14.58,13.778566420280491
DeepSpeech,2560,2560,7133,384,509.0,368,1,0,0,F2,1.4999796103248806,15.04,11.989333102515188
DeepSpeech,4096,4096,7133,384,509.0,368,1,0,0,F2,1.4999796103248806,12.93,11.989333102515188
DeepSpeech,5124,1760,9124,128,1760.0,288,0,0,1,F1,1.4375948035282375,13.41,14.33597115021364
DeepSpeech,35,1760,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.43,0.0
DeepSpeech,5124,2048,9124,128,2048.0,224,0,0,1,F1,1.4999847552953138,12.55,13.778566420280491
DeepSpeech,35,2048,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.59,0.0
DeepSpeech,5124,2560,9124,384,509.0,368,1,0,0,F2,1.4999796103248806,13.42,11.989333102515188
DeepSpeech,35,2560,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.97,0.0
DeepSpeech,5124,4096,9124,384,509.0,368,1,0,0,F2,1.4999796103248806,13.48,11.989333102515188
DeepSpeech,35,4096,8457,0,0.0,0,-1,-1,-1,fail,0.0,6.41,0.0
DeepSpeech,7680,2560,16,384,1280.0,16,1,0,0,F2,1.2354809674099123,5.24,1.8062800672154098
DeepSpeech,7680,2560,32,512,854.0,32,1,0,0,F2,1.3329728724663465,9.99,3.4393903633437266
DeepSpeech,7680,2560,64,128,2560.0,64,0,0,1,F1,1.437736693744792,12.71,6.485820272367211
DeepSpeech,7680,2560,128,128,2560.0,128,0,0,1,F1,1.4999850955001475,13.6,10.692621156694097
DeepSpeech,3072,1024,16,384,1024.0,16,0,0,1,F1,1.2323669457292568,2.96,1.7868130456196185
DeepSpeech,3072,1024,32,384,1024.0,32,0,0,1,F1,1.2958158274987057,5.75,3.4404222352418277
DeepSpeech,3072,1024,64,384,1024.0,64,0,0,1,F1,1.4227087595397774,8.39,6.463447960270136
DeepSpeech,3072,1024,128,384,1024.0,128,0,0,1,F1,1.4999840775550006,10.07,10.574297033822553
DeepSpeech,3072,1024,7435,128,1024.0,512,0,0,1,F1,1.3528727186993632,13.77,14.87126391365728
DeepSpeech,7680,2560,5481,384,509.0,368,1,0,0,F2,1.4999796103248806,12.96,11.989333102515188
DeepSpeech,1760,1760,16,512,880.0,16,1,0,0,F2,1.2469981850848262,2.61,1.8053662169823175
DeepSpeech,1760,1760,32,256,1760.0,32,0,0,1,F1,1.2677891314548244,4.96,3.4694970688414384
DeepSpeech,1760,1760,64,256,1760.0,64,0,0,1,F1,1.3881506969302433,7.62,6.521363163400674
DeepSpeech,1760,1760,128,128,1760.0,128,0,0,1,F1,1.4999800787008088,9.01,9.984232430624294
Speaker ID,1024,512,700,384,512.0,496,0,0,1,F1,1.383226453665702,10.79,14.461531753436775
