0,1,2,3,4,5,6,7,8,9,10,11,12,13
Language Modelling,512,500000,8,512,975.0,16,1,0,0,F2,1.2368333435829393,2.82,0.9012687131629725
Language Modelling,1024,500000,8,512,975.0,16,1,0,0,F2,1.2368333435829393,3.32,0.9012687131629725
Language Modelling,512,500000,16,512,975.0,16,1,0,0,F2,1.2368333435829393,5.6,1.802537426325945
Language Modelling,1024,500000,16,512,975.0,16,1,0,0,F2,1.2368333435829393,6.58,1.802537426325945
DeepSpeech,1760,1760,7000,128,1760.0,288,0,0,1,F1,1.3889784743838653,14.07,12.950996398653432
DeepSpeech,2048,2048,16,384,1024.0,16,1,0,0,F2,1.2821795092073072,3.27,1.7868933500270743
DeepSpeech,2048,2048,32,384,1024.0,32,1,0,0,F2,1.3734109002184942,6.39,3.3954133058277014
DeepSpeech,2048,2048,64,128,2048.0,64,0,0,1,F1,1.499952293070478,9.26,6.280975554456204
DeepSpeech,2048,2048,128,128,2048.0,128,0,0,1,F1,1.4999830009383928,11.07,9.821391083856923
DeepSpeech,2048,2048,7000,128,2048.0,224,0,0,1,F1,1.4609782680433194,14.67,12.61273888793832
DeepSpeech,2560,2560,16,384,1280.0,16,1,0,0,F2,1.242435731831053,4.19,1.7981249774176962
DeepSpeech,2560,2560,32,512,854.0,32,1,0,0,F2,1.3468818425033897,8.07,3.4138833715776586
DeepSpeech,2560,2560,64,128,2560.0,64,0,0,1,F1,1.4655534089519824,11.98,6.409767870726374
DeepSpeech,2560,2560,128,128,2560.0,128,0,0,1,F1,1.4999857706043125,13.87,10.186509831814641
DeepSpeech,2560,2560,7000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.42,11.35665612495351
DeepSpeech,4096,4096,16,512,820.0,16,1,0,0,F2,1.2668090092153848,5.16,1.7934771238539804
DeepSpeech,4096,4096,32,512,820.0,32,1,0,0,F2,1.354776834630949,10.23,3.410369542282514
DeepSpeech,4096,4096,64,512,820.0,64,1,0,0,F2,1.4999514944072598,12.63,6.1800892346220495
DeepSpeech,4096,4096,128,512,683.0,128,0,1,0,F2,1.4999836789397651,12.03,8.806178065263504
DeepSpeech,4096,4096,7000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.45,11.35665612495351
