0,1,2,3,4,5,6,7,8,9,10,11,12,13
Language Modelling,512,500000,8,512,975.0,16,1,0,0,F2,1.1905349288024594,2.82,0.7154942852365407
Language Modelling,1024,500000,8,512,975.0,16,1,0,0,F2,1.1905349288024594,3.32,0.7154942852365407
Language Modelling,512,500000,16,512,975.0,16,1,0,0,F2,1.1905349288024594,5.6,1.4309885704730814
Language Modelling,1024,500000,16,512,975.0,16,1,0,0,F2,1.1905349288024594,6.58,1.4309885704730814
DeepSpeech,1760,1760,7000,128,1760.0,288,0,0,1,F1,1.4606829630224434,14.07,12.56547785941817
DeepSpeech,2048,2048,16,384,1024.0,16,1,0,0,F2,1.2270706726933591,3.27,1.4190848244288097
DeepSpeech,2048,2048,32,128,2048.0,32,0,0,1,F1,1.3040702014031007,6.39,2.7075217180477384
DeepSpeech,2048,2048,64,128,2048.0,64,0,0,1,F1,1.4098481353063241,9.26,5.132525865544489
DeepSpeech,2048,2048,128,128,2048.0,128,0,0,1,F1,1.4999841457292837,11.07,8.761086427898235
DeepSpeech,2048,2048,7000,128,2048.0,224,0,0,1,F1,1.4999860140785684,14.67,11.823794849959022
DeepSpeech,2560,2560,16,384,1280.0,16,1,0,0,F2,1.1956266150570793,4.19,1.4273211813838358
DeepSpeech,2560,2560,32,128,2560.0,32,0,0,1,F1,1.2628581823307765,8.07,2.7341548783441403
DeepSpeech,2560,2560,64,128,2560.0,64,0,0,1,F1,1.3670756103131925,11.98,5.172312874744081
DeepSpeech,2560,2560,128,128,2560.0,128,0,0,1,F1,1.4999867752128406,13.87,9.062354908001042
DeepSpeech,2560,2560,7000,384,509.0,368,0,1,0,F2,1.4999798404424851,14.42,10.11422977194388
DeepSpeech,4096,4096,16,512,820.0,16,1,0,0,F2,1.2143317101198985,5.16,1.424304803760425
DeepSpeech,4096,4096,32,512,820.0,32,1,0,0,F2,1.2886945048795975,10.23,2.719323657179713
DeepSpeech,4096,4096,64,512,820.0,64,1,0,0,F2,1.437413457859789,12.63,5.051272842476321
DeepSpeech,4096,4096,128,512,683.0,128,1,0,0,F2,1.4999840801220552,12.03,7.678881097638742
DeepSpeech,4096,4096,7000,384,509.0,368,0,1,0,F2,1.4999798404424851,14.45,10.11422977194388
DeepSpeech,1760,1760,7133,128,1760.0,288,0,0,1,F1,1.4606829630224434,14.09,12.56547785941817
DeepSpeech,2048,2048,7133,128,2048.0,224,0,0,1,F1,1.4999860140785684,14.58,11.823794849959022
DeepSpeech,2560,2560,7133,384,509.0,368,0,1,0,F2,1.4999798404424851,15.04,10.11422977194388
DeepSpeech,4096,4096,7133,384,509.0,368,0,1,0,F2,1.4999798404424851,12.93,10.11422977194388
DeepSpeech,5124,1760,9124,128,1760.0,288,0,0,1,F1,1.4606829630224434,13.41,12.56547785941817
