0,1,2,3,4,5,6,7,8,9,10,11,12,13
Language Modelling,512,500000,8,512,975.0,16,1,0,0,F2,1.2797816844822665,2.82,0.9376069028713666
Language Modelling,1024,500000,8,512,975.0,16,1,0,0,F2,1.2797816844822665,3.32,0.9376069028713666
Language Modelling,512,500000,16,512,975.0,16,1,0,0,F2,1.2797816844822665,5.6,1.8752138057427332
Language Modelling,1024,500000,16,512,975.0,16,1,0,0,F2,1.2797816844822665,6.58,1.8752138057427332
DeepSpeech,1760,1760,7000,128,1760.0,288,0,0,1,F1,1.4959440619078663,14.07,14.445356718736738
DeepSpeech,2048,2048,16,512,683.0,16,1,0,0,F2,1.3611381176728277,3.27,1.869400773944149
DeepSpeech,2048,2048,32,512,683.0,32,1,0,0,F2,1.4646278933065282,6.39,3.596175082564014
DeepSpeech,2048,2048,64,128,2048.0,64,0,0,1,F1,1.5999436715942301,9.26,6.804829328058814
DeepSpeech,2048,2048,128,128,2048.0,128,0,0,1,F1,1.5999791226605113,11.07,10.735508900367545
DeepSpeech,2048,2048,7000,128,2048.0,224,0,0,1,F1,1.587743216356967,14.67,14.158127197300443
DeepSpeech,2560,2560,16,512,854.0,16,1,0,0,F2,1.3067442351522895,4.19,1.8732033680836409
DeepSpeech,2560,2560,32,512,854.0,32,1,0,0,F2,1.4074219357262698,8.07,3.6010111708777663
DeepSpeech,2560,2560,64,128,2560.0,64,0,0,1,F1,1.5409923414732494,11.98,6.850261385085448
DeepSpeech,2560,2560,128,128,2560.0,128,0,0,1,F1,1.599982505202349,13.87,11.144871293675752
DeepSpeech,2560,2560,7000,384,509.0,368,1,0,0,F2,1.5999761304657296,14.42,12.461895072307392
DeepSpeech,4096,4096,16,512,820.0,16,1,0,0,F2,1.3157525347760337,5.16,1.8725508871851126
DeepSpeech,4096,4096,32,512,820.0,32,1,0,0,F2,1.416895953463896,10.23,3.600182538762968
DeepSpeech,4096,4096,64,512,820.0,64,1,0,0,F2,1.5999414932843696,12.63,6.693835881574743
DeepSpeech,4096,4096,128,512,683.0,128,1,0,0,F2,1.599980004003967,12.03,9.601234617296202
DeepSpeech,4096,4096,7000,384,509.0,368,1,0,0,F2,1.5999761304657296,14.45,12.461895072307392
DeepSpeech,1760,1760,7133,128,1760.0,288,0,0,1,F1,1.4959440619078663,14.09,14.445356718736738
DeepSpeech,2048,2048,7133,128,2048.0,224,0,0,1,F1,1.587743216356967,14.58,14.158127197300443
DeepSpeech,2560,2560,7133,384,509.0,368,1,0,0,F2,1.5999761304657296,15.04,12.461895072307392
DeepSpeech,4096,4096,7133,384,509.0,368,1,0,0,F2,1.5999761304657296,12.93,12.461895072307392
DeepSpeech,5124,1760,9124,128,1760.0,288,0,0,1,F1,1.4959440619078663,13.41,14.445356718736738
DeepSpeech,35,1760,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.43,0.0
DeepSpeech,5124,2048,9124,128,2048.0,224,0,0,1,F1,1.587743216356967,12.55,14.158127197300443
