0,1,2,3,4,5,6,7,8,9,10,11,12,13
Language Modelling,512,500000,8,512,975.0,16,1,0,0,F2,1.1850919605234407,2.82,0.7182402967981755
Language Modelling,1024,500000,8,512,975.0,16,1,0,0,F2,1.1850919605234407,3.32,0.7182402967981755
Language Modelling,512,500000,16,512,975.0,16,1,0,0,F2,1.1850919605234407,5.6,1.436480593596351
Language Modelling,1024,500000,16,512,975.0,16,1,0,0,F2,1.1850919605234407,6.58,1.436480593596351
DeepSpeech,1760,1760,7000,128,1760.0,288,0,0,1,F1,1.4999841928509596,14.07,13.726590885493353
DeepSpeech,2048,2048,16,384,1024.0,16,1,0,0,F2,1.2216277819777157,3.27,1.4242706690880378
DeepSpeech,2048,2048,32,128,2048.0,32,0,0,1,F1,1.2931847340621956,6.39,2.724345214815813
DeepSpeech,2048,2048,64,128,2048.0,64,0,0,1,F1,1.3880780745168995,9.26,5.184831496821995
DeepSpeech,2048,2048,128,128,2048.0,128,0,0,1,F1,1.4999536165999952,11.07,9.132698322222268
DeepSpeech,2048,2048,7000,128,2048.0,224,0,0,1,F1,1.499985231880604,14.67,12.511165676328702
DeepSpeech,2560,2560,16,384,1280.0,16,1,0,0,F2,1.1901836577503015,4.19,1.4327447295427531
DeepSpeech,2560,2560,32,128,2560.0,32,0,0,1,F1,1.251972541146896,8.07,2.7521169868187307
DeepSpeech,2560,2560,64,128,2560.0,64,0,0,1,F1,1.3453051882510532,11.98,5.227805051106829
DeepSpeech,2560,2560,128,128,2560.0,128,0,0,1,F1,1.4999515534905816,13.87,9.460520918602192
DeepSpeech,2560,2560,7000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.42,10.61300839765092
DeepSpeech,4096,4096,16,512,820.0,16,1,0,0,F2,1.2088887922605975,5.16,1.4296079271680977
DeepSpeech,4096,4096,32,512,820.0,32,1,0,0,F2,1.2778089811551145,10.23,2.7366022374454384
DeepSpeech,4096,4096,64,512,820.0,64,1,0,0,F2,1.4156436583025511,12.63,5.099678478744646
DeepSpeech,4096,4096,128,512,683.0,128,0,1,0,F2,1.4999503642899434,12.03,7.962831473553638
DeepSpeech,4096,4096,7000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.45,10.61300839765092
DeepSpeech,1760,1760,7133,128,1760.0,288,0,0,1,F1,1.4999841928509596,14.09,13.726590885493353
